,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
4,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,3546,2955.001953125,0.7214360237121582,6.601912975311278
5,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,8277,2554.96875,0.6237716674804688,4.692834854125977
6,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,4902,2865.3681640625,0.6995527744293213,3.625664949417114
7,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,4806,3190.449951171875,0.7789184451103209,4.741154193878174
8,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,3863,3083.236328125,0.7527432441711426,4.188189029693604
9,gd,quadratic,mse,4.0,1024,1,4096,0.01,0.0,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,3905,3248.26123046875,0.7930325269699097,2.8281238079071045
0,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,3183,69.98752593994139,0.20107497833669186,5.029773235321045
1,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,2611,29.02325439453125,0.08818261791020633,6.938377857208253
2,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,1535,111.03020668029785,0.3504400923848152,3.594431161880493
3,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,36,1e-08,1.0,0.6744899999999999,0,1701,58.65821123123169,0.20845851860940454,3.6439905166625977
4,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,37,1e-08,1.0,0.6744899999999999,0,2936,29.39247679710388,0.0921585587784648,4.54428243637085
5,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,38,1e-08,1.0,0.6744899999999999,0,2715,71.37307834625244,0.2181668411940336,5.162589073181152
6,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,39,1e-08,1.0,0.6744899999999999,0,1564,71.56166267395021,0.21031423658132556,7.840425491333008
7,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,40,1e-08,1.0,0.6744899999999999,0,2797,60.17795372009277,0.19288894906640053,3.8158338069915767
8,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,41,1e-08,1.0,0.6744899999999999,0,1434,53.90352821350098,0.1740979328751564,2.9130280017852783
9,p-sgd,quadratic,mse,2.5,1024,1,320,0.002,0.9,False,2000,100,32,10,42,1e-08,1.0,0.6744899999999999,0,3911,58.41026163101196,0.19066513143479824,5.111273765563965
0,p-sgd,quadratic,mse,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,4072,0.056980265770107515,0.00011129532686027231,0.0009721615351736547
1,p-sgd,quadratic,mse,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,1250,0.03805078100413084,7.480875319743063e-05,0.0009520804742351174
2,p-sgd,quadratic,mse,4.0,1024,1,512,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,1976,188.4126262664795,0.3817343078553677,5.071415424346924
