,activation,batchsize,early_stopping_epochs,epoch,loss,loss_eps,lr,momentum,nepochs,nesterov,nfeatures,nhidden,nruns,ntest,optim,project_on_sphere,samplecomplexity,seed,startseed,symmetric_door_k,tau,test error,train error,train loss,weightdecay
1,quadratic,1024,,611,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,24,22,0.6744899999999999,1.0,0.000866390997543931,7.369477407337399e-05,0.0775472205132246,0
2,quadratic,1024,,430,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,25,22,0.6744899999999999,1.0,0.0009963733609765768,0.0001333412747044349,0.13272474147379398,0
3,quadratic,1024,,307,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,26,22,0.6744899999999999,1.0,0.0009921458549797537,0.00010813218159455573,0.11660730745643375,0
4,quadratic,1024,,370,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,27,22,0.6744899999999999,1.0,0.0009194473386742176,0.00016176704957615584,0.16670304536819458,0
5,quadratic,1024,,612,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,28,22,0.6744899999999999,1.0,0.0009049253421835599,7.953756812639767e-05,0.08437786251306534,0
6,quadratic,1024,,204,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,29,22,0.6744899999999999,1.0,0.0009278826182708144,9.66570378295728e-05,0.09444240108132362,0
7,quadratic,1024,,489,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,30,22,0.6744899999999999,1.0,0.0009181968634948133,0.00010872175425902242,0.11070961691439153,0
8,quadratic,1024,,266,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,31,22,0.6744899999999999,1.0,0.0009756877552717924,7.902333709353115e-05,0.08068523649126291,0
9,quadratic,1024,,321,mse,1e-08,0.002,0.9,2000,False,1024,1,10,100,p-sgd,,8.0,32,22,0.6744899999999999,1.0,0.0009269978036172688,8.892462847143179e-05,0.09097747411578894,0
0,quadratic,2560,-1.0,1416,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,5.0,23,22,0.6744899999999999,2.0,0.0009935569250956178,8.302091009682043e-05,0.2119963839650154,0
1,quadratic,2560,-1.0,2248,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,5.0,24,22,0.6744899999999999,2.0,0.0009070332162082195,0.00014045745047042146,0.35408054292202,0
2,quadratic,2560,-1.0,2313,mse,1e-08,0.005,0.9,10000,True,1024,1,10,100,p-sgd,True,5.0,25,22,0.6744899999999999,2.0,0.0009720107773318887,9.974963904824108e-05,0.254910945892334,0
