,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,weightdecay,epoch,train loss,train error,test error
9,sgd,symmetric-door,square,25.0,1024,1,3200,0.01,0.0,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,59,676.9117126464844,0.07953124959021808,0.0
0,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,23,1e-08,1.0,0.6744899999999999,0,1521,152.5742130279541,0.09081455133855344,0.36000001430511475
1,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,24,1e-08,1.0,0.6744899999999999,0,2579,170.01047325134275,0.0988868298009038,0.3400000035762787
2,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,25,1e-08,1.0,0.6744899999999999,0,1898,163.57869529724118,0.10015806183218956,0.30000001192092896
3,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,26,1e-08,1.0,0.6744899999999999,0,2040,172.94425392150882,0.09530830942094326,0.3199999928474426
4,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,27,1e-08,1.0,0.6744899999999999,0,2029,159.26366043090817,0.09706394746899603,0.3400000035762787
5,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,28,1e-08,1.0,0.6744899999999999,0,2376,158.08991813659668,0.11308405734598635,0.25999999046325684
6,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,29,1e-08,1.0,0.6744899999999999,0,1878,156.6144027709961,0.08125902619212866,0.41999998688697815
7,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,30,1e-08,1.0,0.6744899999999999,0,2451,156.4697494506836,0.07944602333009243,0.36000001430511475
8,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,31,1e-08,1.0,0.6744899999999999,0,2625,165.5411376953125,0.12191879004240035,0.4000000059604645
9,p-sgd,symmetric-door,square,8.0,1024,2,1024,0.002,0.9,False,2000,100,22,10,32,1e-08,1.0,0.6744899999999999,0,3411,169.7979469299316,0.11445413436740635,0.5400000214576721
0,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,33,1e-08,1.0,0.6744899999999999,0,358,4.8235492441389285,0.0,0.9800000190734864
1,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,34,1e-08,1.0,0.6744899999999999,0,269,5.403365135192871,0.0,0.8999999761581421
2,sgd,symmetric-door,logloss,0.1,1024,2,12,0.01,0.0,False,2000,100,32,10,35,1e-08,1.0,0.6744899999999999,0,503,4.30846185154385,0.0,0.8999999761581421
