,optim,labels,loss,samplecomplexity,nfeatures,nhidden,lr,momentum,nesterov,seed,start_seed,activation,second_layer_activation,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weight_decay,batch_size,epoch,n_epochs,train_loss,train_error,test_error,n_test
2,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,3722,2000,0.03320284932851792,2.1616438061755616e-05,0.000999787705950439,100
3,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,7247,2000,0.04025382176041603,2.620691520860419e-05,0.0009992750128731134,100
4,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,2989,2000,0.039044078439474106,2.5419321900699288e-05,0.0009992808336392043,100
5,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,3353,2000,0.030593283474445343,1.9917501958843783e-05,0.0009993924759328363,100
6,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,3722,2000,0.03680381365120411,2.3960816179169345e-05,0.0009997246088460088,100
7,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,3155,2000,0.04353644698858261,2.8344040401862006e-05,0.000999490381218493,100
8,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,4773,2000,0.026698512956500053,1.738184437272139e-05,0.0009997546439990401,100
9,sgd,quadratic,mse,3.0,1024,2,0.005,0.9,True,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1536,3918,2000,0.0313411932438612,2.0404422684805468e-05,0.0009997781598940492,100
0,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.02195838838815689,2.1443738660309464e-05,1.1535511016845703,100
1,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,24,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.0389307476580143,3.801830825977959e-05,1.5012450218200684,100
2,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,25,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.02977229282259941,2.9074504709569734e-05,1.6471096277236938,100
3,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,26,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.026162698864936832,2.554951061028987e-05,1.610270380973816,100
4,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,27,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.020056113600730896,1.9586048438213766e-05,1.9240617752075195,100
5,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,28,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.03458613902330398,3.37755263899453e-05,1.4506927728652954,100
6,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,29,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.04144423454999924,4.047288530273363e-05,1.8850175142288208,100
7,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,30,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.0313919335603714,3.0656185117550194e-05,1.5508135557174685,100
8,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,31,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.029465660452842712,2.877505903597921e-05,1.5069307088851929,100
9,gd,quadratic,mse,1.0,1024,2,0.005,0.0,False,32,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,1024,20002,2000,0.03203320503234863,3.128242678940296e-05,1.7471716403961182,100
0,gd,quadratic,mse,5.0,1024,10,0.005,0.0,False,23,22,quadratic,none,1e-08,2.0,0.6744899999999999,True,-1,0,5120,20002,2000,1.2596418857574463,0.0002460238174535334,0.01019960269331932,100
