,optim,activation,loss,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,ntest,startseed,nruns,seed,loss_eps,tau,symmetric_door_k,project_on_sphere,early_stopping_epochs,weightdecay,epoch,train loss,train error,test error
9,p-sgd,symmetric-door,square,7.0,1024,1,3584,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,643.4465637207031,0.08287293463945389,0.3400000035762787
0,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,521.2647094726561,0.326171875,0.9800000190734864
1,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,516.7069702148439,0.294921875,0.959999978542328
2,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,522.4990844726561,0.3173828125,0.959999978542328
3,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,521.6615905761719,0.3271484375,0.9200000166893004
4,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,520.4786071777344,0.318359375,1.0
5,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,516.7297668457031,0.30859375,1.1200000047683716
6,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,526.2592163085939,0.3330078125,1.0
7,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,515.7132873535156,0.3037109375,0.8199999928474426
8,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,527.8540344238281,0.3427734375,1.1200000047683716
9,sgd,symmetric-door,logloss,2.0,1024,1,1024,0.005,0.9,True,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,526.9442443847656,0.322265625,1.0800000429153442
0,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,23,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2954.8507080078125,0.11519888043403625,0.18000000715255735
1,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,24,1e-08,2.0,0.6744899999999999,True,-1,0,20002,3000.1444091796875,0.12283826619386673,0.20000000298023224
2,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,25,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2936.3543701171875,0.11902418360114098,0.1599999964237213
3,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,26,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2976.854858398437,0.11262119561433792,0.2800000011920929
4,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,27,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2969.801147460937,0.11780054122209548,0.119999997317791
5,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,28,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2976.392333984375,0.12510211020708084,0.239999994635582
6,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,29,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2966.1622314453125,0.11802223324775694,0.20000000298023224
7,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,30,1e-08,2.0,0.6744899999999999,True,-1,0,20002,2949.897216796875,0.12259719148278235,0.14000000059604645
8,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,31,1e-08,2.0,0.6744899999999999,True,-1,0,20002,3011.46728515625,0.12011241912841795,0.239999994635582
9,p-sgd,symmetric-door,logloss,12.0,1024,1,6144,0.01,0.0,False,2000,100,22,10,32,1e-08,2.0,0.6744899999999999,True,-1,0,20002,3009.0611572265625,0.11705993860960008,0.1599999964237213
