,optim,samplecomplexity,nfeatures,nhidden,batchsize,lr,momentum,nesterov,nepochs,weightdecay,ntest,startseed,nruns,seed,epoch,train loss,test loss
1,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,22,5,24,60000,0.2250110954046249,86.08009338378906
2,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,22,5,25,59300,0.2342710942029953,70.30546569824219
3,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,22,5,26,55500,0.2208437025547028,64.86611938476561
4,gd,2.5,1024,10,2560,0.01,0.0,False,10000,0,100,22,5,27,60200,0.2520487904548645,74.29386138916016
0,sgd,3.5,1024,1,32,0.01,0.0,False,400,0,100,22,5,23,3900,15.232729115656445,78.3024595975876
1,sgd,3.5,1024,1,32,0.01,0.0,False,400,0,100,22,5,24,3900,19.357439168861934,144.03183388710022
0,sgd,2.5,1024,1,32,0.002,0.9,False,10000,0,100,27,5,28,100000,11.129167276620867,158.7340042591095
1,sgd,2.5,1024,1,32,0.002,0.9,False,10000,0,100,27,5,29,100000,10.41900725364685,157.0560569763184
0,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,23,34700,5.464727878570557,8.795535087585451
1,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,24,41200,244.89263916015625,437.46002197265625
2,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,25,52000,246.5708923339844,446.6358337402344
3,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,26,24800,331.7196350097656,312.98785400390625
4,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,27,21600,305.0906982421875,587.1644287109375
5,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,28,48600,250.0458984375,295.1415100097656
6,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,29,44600,300.9139709472656,359.2009582519531
7,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,30,29500,317.9840393066406,418.9418640136719
8,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,31,32100,327.7584533691406,403.2569580078125
9,gd,3.0,1024,2,3072,0.001,0.0,False,8000,0,100,22,10,32,27500,328.17376708984375,311.343505859375
0,sgd,4.0,1024,1,32,0.002,0.9,False,400,0,100,27,5,28,3900,22.4550658762455,108.2817680835724
1,sgd,4.0,1024,1,32,0.002,0.9,False,400,0,100,27,5,29,3900,24.55948032438755,111.01192569732666
0,sgd,3.0,1024,1,32,0.01,0.0,False,400,0,100,32,5,33,3900,14.464067642887436,121.7672061920166
1,sgd,3.0,1024,1,32,0.01,0.0,False,400,0,100,32,5,34,3900,16.05996714532375,201.94197463989258
2,sgd,3.0,1024,1,32,0.01,0.0,False,400,0,100,32,5,35,3900,15.405595759550732,158.59663581848145
0,gd,2.0,1024,1,2048,0.001,0.0,False,8000,0,100,22,10,23,6100,372.6103820800781,651.7626953125
